gtfs_id,vehicle_no,service_sub_types
chennai_bus,J0413,"[""ORDI""]"
chennai_bus,J0414,"[""ORDI""]"
chennai_bus,J0415,"[""ORDI""]"
chennai_bus,J0416,"[""ORDI""]"
chennai_bus,J0417,"[""ORDI""]"
chennai_bus,J0418,"[""ORDI""]"
chennai_bus,J0419,"[""ORDI""]"
chennai_bus,J0420,"[""ORDI""]"
chennai_bus,J0421,"[""ORDI""]"
chennai_bus,J0422,"[""ORDI""]"
chennai_bus,J0423,"[""ORDI""]"
chennai_bus,J0424,"[""ORDI""]"
chennai_bus,J0425,"[""ORDI""]"
chennai_bus,J0426,"[""ORDI""]"
chennai_bus,J0427,"[""ORDI""]"
chennai_bus,J0428,"[""ORDI""]"
chennai_bus,J0429,"[""ORDI""]"
chennai_bus,J0430,"[""ORDI""]"
chennai_bus,J0431,"[""ORDI""]"
chennai_bus,J0432,"[""ORDI""]"
chennai_bus,J0433,"[""ORDI""]"
chennai_bus,J0434,"[""ORDI""]"
chennai_bus,J0435,"[""ORDI""]"
chennai_bus,J0436,"[""ORDI""]"
chennai_bus,J0437,"[""ORDI""]"
chennai_bus,J0438,"[""ORDI""]"
chennai_bus,J0439,"[""ORDI""]"
chennai_bus,J0440,"[""ORDI""]"
chennai_bus,J0441,"[""ORDI""]"
chennai_bus,J0442,"[""ORDI""]"
chennai_bus,J0443,"[""ORDI""]"
chennai_bus,J0445,"[""ORDI""]"
chennai_bus,J0446,"[""ORDI""]"
chennai_bus,J0447,"[""ORDI""]"
chennai_bus,J0448,"[""ORDI""]"
chennai_bus,J0449,"[""ORDI""]"
chennai_bus,J0450,"[""ORDI""]"
chennai_bus,J0451,"[""ORDI""]"
chennai_bus,J0452,"[""ORDI""]"
chennai_bus,J0454,"[""ORDI""]"
chennai_bus,J0455,"[""ORDI""]"
chennai_bus,J0456,"[""ORDI""]"
chennai_bus,J0457,"[""ORDA""]"
chennai_bus,J0458,"[""ORDI""]"
chennai_bus,J0459,"[""ORDA""]"
chennai_bus,J0460,"[""ORDA""]"
chennai_bus,J0461,"[""ORDA""]"
chennai_bus,J0462,"[""ORDI""]"
chennai_bus,J0463,"[""ORDI""]"
chennai_bus,J0464,"[""ORDA""]"
chennai_bus,J0465,"[""ORDI""]"
chennai_bus,J0467,"[""ORDA""]"
chennai_bus,J0468,"[""ORDA""]"
chennai_bus,J0469,"[""ORDA""]"
chennai_bus,J0470,"[""ORDI""]"
chennai_bus,J0471,"[""ORDI""]"
chennai_bus,J0472,"[""ORDA""]"
chennai_bus,J0473,"[""ORDA""]"
chennai_bus,J0475,"[""ORDI""]"
chennai_bus,J0476,"[""ORDI""]"
chennai_bus,J0477,"[""ORDI""]"
chennai_bus,J0478,"[""ORDI""]"
chennai_bus,J0479,"[""ORDI""]"
chennai_bus,J0480,"[""ORDA""]"
chennai_bus,J0481,"[""ORDA""]"
chennai_bus,J0482,"[""ORDA""]"
chennai_bus,J0484,"[""ORDA""]"
chennai_bus,J0485,"[""ORDI""]"
chennai_bus,J0486,"[""ORDA""]"
chennai_bus,J0487,"[""ORDA""]"
chennai_bus,J0488,"[""ORDA""]"
chennai_bus,J0489,"[""ORDA""]"
chennai_bus,J0490,"[""ORDA""]"
chennai_bus,J0491,"[""ORDA""]"
chennai_bus,J0492,"[""ORDI""]"
chennai_bus,J0493,"[""ORDI""]"
chennai_bus,J0494,"[""ORDI""]"
chennai_bus,J0495,"[""ORDI""]"
chennai_bus,J0496,"[""ORDI""]"
chennai_bus,J0497,"[""ORDI""]"
chennai_bus,J0498,"[""ORDA""]"
chennai_bus,J0499,"[""ORDA""]"
chennai_bus,J0500,"[""ORDA""]"
chennai_bus,J0501,"[""ORDI""]"
chennai_bus,J0502,"[""ORDI""]"
chennai_bus,J0503,"[""ORDI""]"
chennai_bus,J0504,"[""ORDI""]"
chennai_bus,J0505,"[""ORDI""]"
chennai_bus,J0506,"[""ORDI""]"
chennai_bus,J0507,"[""ORDI""]"
chennai_bus,J0508,"[""ORDI""]"
chennai_bus,J0509,"[""ORDI""]"
chennai_bus,J0510,"[""ORDI""]"
chennai_bus,J0511,"[""ORDI""]"
chennai_bus,J0512,"[""ORDI""]"
chennai_bus,J0513,"[""ORDI""]"
chennai_bus,J0514,"[""ORDA""]"
chennai_bus,J0515,"[""ORDI""]"
chennai_bus,J0516,"[""ORDI""]"
chennai_bus,J0517,"[""ORDI""]"
chennai_bus,J0518,"[""ORDI""]"
chennai_bus,J0519,"[""ORDI""]"
chennai_bus,J0520,"[""ORDI""]"
chennai_bus,J0521,"[""ORDI""]"
chennai_bus,J0522,"[""ORDA""]"
chennai_bus,J0523,"[""ORDI""]"
chennai_bus,J0524,"[""ORDA""]"
chennai_bus,J0525,"[""ORDI""]"
chennai_bus,J0526,"[""ORDI""]"
chennai_bus,J0527,"[""ORDI""]"
chennai_bus,J0528,"[""ORDI""]"
chennai_bus,J0529,"[""ORDI""]"
chennai_bus,J0530,"[""ORDI""]"
chennai_bus,J0531,"[""ORDI""]"
chennai_bus,J0532,"[""ORDI""]"
chennai_bus,J0533,"[""ORDA""]"
chennai_bus,J0534,"[""ORDA""]"
chennai_bus,J0535,"[""ORDI""]"
chennai_bus,J0536,"[""ORDI""]"
chennai_bus,J0537,"[""ORDA""]"
chennai_bus,J0538,"[""ORDA""]"
chennai_bus,J0539,"[""ORDA""]"
chennai_bus,J0540,"[""ORDA""]"
chennai_bus,J0541,"[""ORDI""]"
chennai_bus,J0542,"[""ORDA""]"
chennai_bus,J0543,"[""ORDA""]"
chennai_bus,J0544,"[""ORDA""]"
chennai_bus,J0545,"[""ORDI""]"
chennai_bus,J0546,"[""ORDA""]"
chennai_bus,J0547,"[""ORDA""]"
chennai_bus,J0548,"[""ORDI""]"
chennai_bus,J0549,"[""ORDA""]"
chennai_bus,J0550,"[""ORDI""]"
chennai_bus,J0551,"[""ORDI""]"
chennai_bus,J0552,"[""ORDI""]"
chennai_bus,J0553,"[""ORDI""]"
chennai_bus,J0554,"[""ORDI""]"
chennai_bus,J0555,"[""ORDI""]"
chennai_bus,J0556,"[""ORDI""]"
chennai_bus,J0557,"[""ORDI""]"
chennai_bus,J0558,"[""ORDI""]"
chennai_bus,J0559,"[""ORDI""]"
chennai_bus,J0560,"[""ORDI""]"
chennai_bus,J0561,"[""ORDI""]"
chennai_bus,J0562,"[""ORDI""]"
chennai_bus,J0563,"[""ORDI""]"
chennai_bus,J0564,"[""ORDI""]"
chennai_bus,J0565,"[""ORDI""]"
chennai_bus,J0566,"[""ORDI""]"
chennai_bus,J0567,"[""ORDI""]"
chennai_bus,J0568,"[""ORDI""]"
chennai_bus,J0569,"[""ORDI""]"
chennai_bus,J0570,"[""ORDA""]"
chennai_bus,J0571,"[""ORDI""]"
chennai_bus,J0572,"[""ORDI""]"
chennai_bus,J0573,"[""ORDI""]"
chennai_bus,J0574,"[""ORDI""]"
chennai_bus,J0575,"[""ORDI""]"
chennai_bus,J0576,"[""ORDI""]"
chennai_bus,J0577,"[""ORDI""]"
chennai_bus,J0578,"[""ORDI""]"
chennai_bus,J0579,"[""ORDI""]"
chennai_bus,J0580,"[""ORDI""]"
chennai_bus,J0581,"[""ORDI""]"
chennai_bus,J0582,"[""ORDI""]"
chennai_bus,J0583,"[""ORDI""]"
chennai_bus,J0584,"[""ORDI""]"
chennai_bus,J0585,"[""ORDI""]"
chennai_bus,J0586,"[""ORDI""]"
chennai_bus,J0587,"[""ORDI""]"
chennai_bus,J0588,"[""ORDI""]"
chennai_bus,J0589,"[""ORDI""]"
chennai_bus,J0590,"[""ORDI""]"
chennai_bus,J0591,"[""ORDI""]"
chennai_bus,J0592,"[""ORDI""]"
chennai_bus,J0593,"[""ORDI""]"
chennai_bus,J0594,"[""ORDI""]"
chennai_bus,J0595,"[""ORDI""]"
chennai_bus,J0596,"[""ORDI""]"
chennai_bus,J0597,"[""ORDI""]"
chennai_bus,J0598,"[""ORDI""]"
chennai_bus,J0599,"[""ORDI""]"
chennai_bus,J0600,"[""MINI""]"
chennai_bus,J0601,"[""MINI""]"
chennai_bus,J0602,"[""MINI""]"
chennai_bus,J0603,"[""MINI""]"
chennai_bus,J0604,"[""MINI""]"
chennai_bus,J0605,"[""MINI""]"
chennai_bus,J0606,"[""MINI""]"
chennai_bus,J0607,"[""MINI""]"
chennai_bus,J0608,"[""MINI""]"
chennai_bus,J0609,"[""MINI""]"
chennai_bus,J0610,"[""MINI""]"
chennai_bus,J0611,"[""MINI""]"
chennai_bus,J0612,"[""MINI""]"
chennai_bus,J0613,"[""MINI""]"
chennai_bus,J0614,"[""MINI""]"
chennai_bus,J0615,"[""MINI""]"
chennai_bus,J0616,"[""MINI""]"
chennai_bus,J0617,"[""MINI""]"
chennai_bus,J0618,"[""MINI""]"
chennai_bus,J0619,"[""MINI""]"
chennai_bus,J0620,"[""MINI""]"
chennai_bus,J0621,"[""MINI""]"
chennai_bus,J0622,"[""MINI""]"
chennai_bus,J0623,"[""MINI""]"
chennai_bus,J0624,"[""MINI""]"
chennai_bus,J0625,"[""MINI""]"
chennai_bus,J0626,"[""MINI""]"
chennai_bus,J0628,"[""MINI""]"
chennai_bus,J0629,"[""MINI""]"
chennai_bus,J0630,"[""MINI""]"
chennai_bus,J0631,"[""MINI""]"
chennai_bus,J0632,"[""MINI""]"
chennai_bus,J0633,"[""MINI""]"
chennai_bus,J0634,"[""MINI""]"
chennai_bus,J0635,"[""MINI""]"
chennai_bus,J0636,"[""MINI""]"
chennai_bus,J0637,"[""MINI""]"
chennai_bus,J0638,"[""MINI""]"
chennai_bus,J0639,"[""MINI""]"
chennai_bus,J0640,"[""MINI""]"
chennai_bus,J0641,"[""MINI""]"
chennai_bus,J0642,"[""MINI""]"
chennai_bus,J0643,"[""MINI""]"
chennai_bus,J0646,"[""MINI""]"
chennai_bus,J0647,"[""MINI""]"
chennai_bus,J0648,"[""MINI""]"
chennai_bus,J0649,"[""MINI""]"
chennai_bus,J0650,"[""MINI""]"
chennai_bus,J0651,"[""MINI""]"
chennai_bus,J0652,"[""MINI""]"
chennai_bus,J0653,"[""MINI""]"
chennai_bus,J0654,"[""MINI""]"
chennai_bus,J0655,"[""MINI""]"
chennai_bus,J0656,"[""MINI""]"
chennai_bus,J0657,"[""MINI""]"
chennai_bus,J0658,"[""MINI""]"
chennai_bus,J0659,"[""MINI""]"
chennai_bus,J0660,"[""MINI""]"
chennai_bus,J0661,"[""MINI""]"
chennai_bus,J0662,"[""MINI""]"
chennai_bus,J0663,"[""MINI""]"
chennai_bus,J0664,"[""MINI""]"
chennai_bus,J0665,"[""MINI""]"
