route_id,service_tier_type
wRhKcEWC,NON_AC
wZtMSQEj,AC
wsYAIFMf,NON_AC
wxqCSLGk,NON_AC
wyEDVSiV,NON_AC
xCPpIGZp,AC
xDkLApmr,NON_AC
xIlEDOsl,AC
xKHIiiub,AC
xKeXqTCd,NON_AC
xKpHAnel,NON_AC
xSgeuxxC,NON_AC
xVIvAmma,NON_AC
xkexPZhk,AC
xptiroHh,NON_AC
yQRqXKFI,AC
yRUcSccd,NON_AC
yWJRuUOg,AC
yWxunjeg,NON_AC
yeoZFtjh,NON_AC
yiJrAKCQ,AC
ynqcXLsV,NON_AC
ypqYzjWk,AC
yxhbXdnH,AC
zAcLuRkD,AC
zFcSQXHH,NON_AC
zHrwBtLf,NON_AC
zMktxkzM,NON_AC
zMqVccOA,NON_AC
zPIsPfJc,NON_AC
zRHIYZwE,AC
zUfGqgBD,AC
zaBGPvGa,AC
zafgEVtu,AC
zdPNuqgA,AC
zpNWXfPS,NON_AC
zroVWuHs,AC
zubAQaMn,AC
zwgFBZLn,NON_AC
zxdyEtKp,AC
