gtfs_id,fleet_id,service_type,capacity,vehicle_type
chennai_bus,I2374,Deluxe,10,BUS
chennai_bus,I2376,Deluxe,10,BUS
chennai_bus,I2407,Ordinary,10,BUS
chennai_bus,I2427,Ordinary,10,BUS
chennai_bus,I2476,Ordinary,10,BUS
chennai_bus,I2488,Ordinary,10,BUS
chennai_bus,I2530,Ordinary,10,BUS
chennai_bus,I2569,Ordinary,10,BUS
chennai_bus,I2570,Ordinary,10,BUS
chennai_bus,I2575,Ordinary,10,BUS
chennai_bus,I2741,Ordinary,10,BUS
chennai_bus,I2743,Ordinary,10,BUS
chennai_bus,I2746,Ordinary,10,BUS
chennai_bus,I2751,Ordinary,10,BUS
chennai_bus,I2758,Ordinary,10,BUS
chennai_bus,I2759,Ordinary,10,BUS
chennai_bus,I2901,Ordinary,10,BUS
chennai_bus,I2902,Ordinary,10,BUS
chennai_bus,I2903,Ordinary,10,BUS
chennai_bus,I2904,Ordinary,10,BUS
chennai_bus,I2905,Ordinary,10,BUS
chennai_bus,I2906,Ordinary,10,BUS
chennai_bus,I2907,Ordinary,10,BUS
chennai_bus,I2908,Ordinary,10,BUS
chennai_bus,I2909,Ordinary,10,BUS
chennai_bus,I2910,Ordinary,10,BUS
chennai_bus,I2911,Ordinary,10,BUS
chennai_bus,I2912,Ordinary,10,BUS
chennai_bus,I2913,Ordinary,10,BUS
chennai_bus,I2915,Ordinary,10,BUS
chennai_bus,I2917,Ordinary,10,BUS
chennai_bus,I2919,Ordinary,10,BUS
chennai_bus,I2921,Ordinary,10,BUS
chennai_bus,I2922,Ordinary,10,BUS
chennai_bus,I2923,Ordinary,10,BUS
chennai_bus,I2924,Ordinary,10,BUS
chennai_bus,I2925,Ordinary,10,BUS
chennai_bus,I2926,Ordinary,10,BUS
chennai_bus,I2927,Ordinary,10,BUS
chennai_bus,I2928,Ordinary,10,BUS
chennai_bus,I2930,Ordinary,10,BUS
chennai_bus,I2931,Ordinary,10,BUS
chennai_bus,I2932,Ordinary,10,BUS
chennai_bus,I2935,Ordinary,10,BUS
chennai_bus,I2936,Ordinary,10,BUS
chennai_bus,I2937,Ordinary,10,BUS
chennai_bus,I2939,Ordinary,10,BUS
chennai_bus,I2942,Ordinary,10,BUS
chennai_bus,I2943,Ordinary,10,BUS
chennai_bus,I2944,Ordinary,10,BUS
