gtfs_id,vehicle_no,short_name
bhubaneshwar_bus,OD14AC1937,O1937
bhubaneshwar_bus,OD14AC1963,O1963
bhubaneshwar_bus,OD14AC1970,O1970
bhubaneshwar_bus,OD14AC1984,O1984
bhubaneshwar_bus,OD14AC1986,O1986
bhubaneshwar_bus,OD14AC1996,O1996
bhubaneshwar_bus,OD14AC2415,D2415
bhubaneshwar_bus,OD14AC2466,O2466
bhubaneshwar_bus,OD14AC2427,O2427
bhubaneshwar_bus,OD14AC2428,O2428
bhubaneshwar_bus,OD14AC2433,O2433
bhubaneshwar_bus,OD14AC2431,O2431
bhubaneshwar_bus,OD14AC3024,O3024
bhubaneshwar_bus,OD14AC3044,O3044
bhubaneshwar_bus,OD14AC3100,O3100
bhubaneshwar_bus,OD14AC3022,O3022
bhubaneshwar_bus,OD14AC3090,O3090
bhubaneshwar_bus,OD14AC3062,O3062
bhubaneshwar_bus,OD14AC3071,O3071
bhubaneshwar_bus,OD14AC3460,O3460
bhubaneshwar_bus,OD14AC3392,O3392
bhubaneshwar_bus,OD14AC3346,O3346
bhubaneshwar_bus,OD14AC3482,O3482
bhubaneshwar_bus,OD14AC3452,O3452
bhubaneshwar_bus,OD14AC3489,O3489
bhubaneshwar_bus,OD14AC3481,O3481
bhubaneshwar_bus,OD14AC3356,O3356
bhubaneshwar_bus,OD14AC3416,O3416
bhubaneshwar_bus,OD14AC3483,O3483
bhubaneshwar_bus,OD14AC3469,O3469
bhubaneshwar_bus,OD14AC3465,O3465
bhubaneshwar_bus,OD14AC3328,O3328
bhubaneshwar_bus,OD14AC3361,O3361
bhubaneshwar_bus,OD14AC3336,O3336
bhubaneshwar_bus,OD14AC3373,O3373
bhubaneshwar_bus,OD14AC3309,O3309
bhubaneshwar_bus,OD14AC3381,O3381
bhubaneshwar_bus,OD14AE5811,O5811
bhubaneshwar_bus,OD14AE5926,O5926
bhubaneshwar_bus,OD14AE6232,O6232
bhubaneshwar_bus,OD14AE6254,O6254
bhubaneshwar_bus,OD14AE6268,O6268
bhubaneshwar_bus,OD14AE5911,O5911
bhubaneshwar_bus,OD14AE5957,O5957
bhubaneshwar_bus,OD14AE6280,O6280
bhubaneshwar_bus,OD14AE6327,O6327
bhubaneshwar_bus,OD14AE6337,O6337
bhubaneshwar_bus,OD14AE6356,O6356
bhubaneshwar_bus,OD14AE6358,O6358
bhubaneshwar_bus,OD14AE6373,O6373
bhubaneshwar_bus,OD14AE6394,O6394
bhubaneshwar_bus,OD14AE6453,O6453
bhubaneshwar_bus,OD14AE6465,O6465
bhubaneshwar_bus,OD14AE6479,O6479
bhubaneshwar_bus,OD14AE6490,O6490
bhubaneshwar_bus,OD14AE6723,O6723
bhubaneshwar_bus,OD14AE6838,O6838
bhubaneshwar_bus,OD14AE6863,O6863
bhubaneshwar_bus,OD14AE7157,O7157
bhubaneshwar_bus,OD14AE7036,D7036
bhubaneshwar_bus,OD14AE7029,O7029
bhubaneshwar_bus,OD14AE7634,O7634
bhubaneshwar_bus,OD33AR4627,O4627
bhubaneshwar_bus,OD05CB0086,O0086
bhubaneshwar_bus,OD33AR4616,O4616
bhubaneshwar_bus,OD05CB0084,O0084
bhubaneshwar_bus,OD33AR4638,O4638
bhubaneshwar_bus,OD05CB0189,O0189
bhubaneshwar_bus,OD33AR4608,O4608
bhubaneshwar_bus,OD05CB0034,O0034
bhubaneshwar_bus,OD33AR4682,O4682
bhubaneshwar_bus,OD05CB0116,O0116
bhubaneshwar_bus,OD33AR4687,O4687
bhubaneshwar_bus,OD05CB0156,O0156
bhubaneshwar_bus,OD33AR4685,O4685
bhubaneshwar_bus,OD05CB0135,O0135
bhubaneshwar_bus,OD33AR6187,O6187
bhubaneshwar_bus,OD05CB0185,O0185
bhubaneshwar_bus,OD33AN0653,O0653
bhubaneshwar_bus,OD05CB0107,O0107
bhubaneshwar_bus,OD33AR7192,O7192
bhubaneshwar_bus,OD05CB0163,O0163
bhubaneshwar_bus,OD33AR4660,O4660
bhubaneshwar_bus,OD05CB0197,O0197
bhubaneshwar_bus,OD33AR7166,O7166
bhubaneshwar_bus,OD05CB0232,O0232
bhubaneshwar_bus,OD33AR5797,O5797
bhubaneshwar_bus,OD05CB0046,O0046
bhubaneshwar_bus,OD33AR5779,O5779
bhubaneshwar_bus,OD05CB0067,O0067
bhubaneshwar_bus,OD33AR5704,O5704
bhubaneshwar_bus,OD05CB0041,O0041
bhubaneshwar_bus,OD33AR5714,O5714
bhubaneshwar_bus,OD05CB0145,O0145
bhubaneshwar_bus,OD33AR5749,O5749
bhubaneshwar_bus,OD05CB0165,O0165
bhubaneshwar_bus,OD33AR4076,O4076
bhubaneshwar_bus,OD05CB0176,D0176
bhubaneshwar_bus,OD33AR6126,O6126
bhubaneshwar_bus,OD05CB0208,O0208
bhubaneshwar_bus,OD33AN0627,O0627
bhubaneshwar_bus,OD05CB0238,O0238
bhubaneshwar_bus,OD33AR4015,O4015
bhubaneshwar_bus,OD05CA1315,O1315
bhubaneshwar_bus,OD33AR6159,O6159
bhubaneshwar_bus,OD05CA4169,D4169
bhubaneshwar_bus,OD33AR5819,O5819
bhubaneshwar_bus,OD05CA1311,O1311
bhubaneshwar_bus,OD33AR4029,O4029
bhubaneshwar_bus,OD05CA1364,O1364
bhubaneshwar_bus,OD33AR5773,O5773
bhubaneshwar_bus,OD05CA1353,O1353
bhubaneshwar_bus,OD33AR4082,O4082
bhubaneshwar_bus,OD05CA1369,O1369
bhubaneshwar_bus,OD33AR4022,O4022
bhubaneshwar_bus,OD05CA1314,O1314
bhubaneshwar_bus,OD33AR5718,O5718
bhubaneshwar_bus,OD05CA4196,O4196
bhubaneshwar_bus,OD33AR4081,O4081
bhubaneshwar_bus,OD05CA1327,O1327
bhubaneshwar_bus,OD33AR5771,O5771
bhubaneshwar_bus,OD05CA1307,O1307
bhubaneshwar_bus,OD33AR4070,O4070
bhubaneshwar_bus,OD05CA1395,O1395
bhubaneshwar_bus,OD33AR5748,O5748
bhubaneshwar_bus,OD05CA1344,O1344
bhubaneshwar_bus,OD33AR4061,O4061
bhubaneshwar_bus,OD05CA1285,O1285
bhubaneshwar_bus,OD33AR5743,O5743
bhubaneshwar_bus,OD05CA4131,O4131
bhubaneshwar_bus,OD33AR6189,O6189
bhubaneshwar_bus,OD05CA1347,O1347
bhubaneshwar_bus,OD33AR5705,O5705
bhubaneshwar_bus,OD05CA4119,O4119
bhubaneshwar_bus,OD33AR5794,O5794
bhubaneshwar_bus,OD05CB0246,O0246
